,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,32196,Hyperliquid,HYPE,hyperliquid,196,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",999533278.0,336685219.0,999533278.0,False,,11,333931719.0,13829629903.005714,,2025-11-09T16:56:00.000Z,41.41454410027373,310691067.5838849,-41.3435,0.7650753,3.59662594,-0.55931349,-3.29320261,-24.79883457,-6.95372166,13943664850.18582,0.399,41395215021.42,,2025-11-09T16:56:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-11-09 19:58:06.640950
11,1975,Chainlink,LINK,chainlink,2144,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'metisdao-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'blast-ecosystem', 'move-vm', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'x-layer-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem']",1000000000.0,696849970.4525867,1000000000.0,False,,12,,,,2025-11-09T16:56:00.000Z,15.966593894166373,592800892.7478346,-40.0495,0.62071082,4.96408125,-7.21391336,-24.91783463,-32.26517573,-26.84255516,11126320483.378286,0.3184,15966593894.17,,2025-11-09T16:56:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-11-09 19:58:06.640950
12,1437,Zcash,ZEC,zcash,498,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'privacy', 'zero-knowledge-proofs', 'binance-chain', 'boostvc-portfolio', 'dcg-portfolio', 'electric-capital-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'winklevoss-capital-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'layer-1', 'standard-crypto-portfolio', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,16297086.2905448,16297086.2905448,False,,13,,,,2025-11-09T16:56:00.000Z,633.3474950917744,2890408810.132338,-25.1147,-1.93131783,25.90564659,61.91384544,169.1282486,1216.07765678,1558.37855213,10321718779.411047,0.2954,13300297396.93,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
13,1831,Bitcoin Cash,BCH,bitcoin-cash,1091,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19950703.125,19950703.125,False,,14,,,,2025-11-09T16:57:00.000Z,499.09006335958026,283555163.9772999,-21.2769,-0.24203788,1.87381207,-6.41651966,-13.43119876,-14.30270407,-15.53314644,9957197686.724426,0.2849,10480891330.55,,2025-11-09T16:57:00.000Z,,,,,,2025-11-09 19:58:06.640950
14,512,Stellar,XLM,stellar,779,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,32099788074.00302,50001786883.671455,False,,15,31531408660.0,8921184795.572456,,2025-11-09T16:56:00.000Z,0.28293010603391344,182667112.25142527,-33.9978,0.51950095,0.88958399,-6.66925125,-23.30619107,-26.38363455,-36.10624534,9081996443.443825,0.2599,14147016503.21,,2025-11-09T16:56:00.000Z,,,,,,2025-11-09 19:58:06.640950
0,1,Bitcoin,BTC,bitcoin,12470,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19946503.0,19946503.0,False,,1,,,,2025-11-09T16:57:00.000Z,103787.4305689155,52484364319.26733,-19.2828,0.03131367,2.03187271,-5.7528173,-12.30580623,-8.7303554,-13.55186565,2070196295205.1648,59.2408,2179536041947.23,,2025-11-09T16:57:00.000Z,,,,,,2025-11-09 19:59:08.156552
1,1027,Ethereum,ETH,ethereum,11124,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120696609.84895349,120696609.84895349,True,,2,,,,2025-11-09T16:57:00.000Z,3527.669894061518,25079731211.547485,-21.0841,0.29289961,4.97226519,-8.70908418,-14.20960349,-19.48537803,-18.32537392,425777796879.4421,12.1841,425777796879.44,,2025-11-09T16:57:00.000Z,,,,,,2025-11-09 19:59:08.156552
2,825,Tether USDt,USDT,tether,157463,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183470378260.13113,185913663196.61996,True,,3,,,,2025-11-09T16:57:00.000Z,0.9997855131025708,96934419618.14592,-25.7434,-0.00128751,0.01554159,-0.02519082,-0.05036303,-0.01870794,-0.0164918,183431026267.92795,5.2491,185873787151.81,,2025-11-09T16:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-11-09 19:59:08.156552
3,52,XRP,XRP,xrp,1754,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,60107199237.0,99985774127.0,False,,4,,,,2025-11-09T16:57:00.000Z,2.3286999736341842,2787600403.7510996,-40.8364,0.26965101,3.01602093,-6.98609304,-14.81498679,-22.46650331,-27.0762078,139971633278.42654,4.0054,232869997363.42,,2025-11-09T16:57:00.000Z,,,,,,2025-11-09 19:59:08.156552
4,1839,BNB,BNB,bnb,2946,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'made-in-china']",137737327.3,137737327.3,137737327.3,False,,5,,,,2025-11-09T16:57:00.000Z,1001.1976727862423,2570587995.8724895,-24.6109,0.51515164,1.32980497,-7.20156507,-18.37480334,11.42658711,23.9514402,137902291548.55698,3.9462,137902291548.56,,2025-11-09T16:57:00.000Z,,,,,,2025-11-09 19:59:08.156552
